,Category,dataset_display,dataset_exp,bacc_chance,num_labels,BENDR,BIOT,BrainOmni,CBraMod,EEGMamba,FEMBA,LaBraM,NeuroGPT,NeuroLM,REVE,chance_level
10,Type-V,ChineseEEG2_RA_Tone,chineseeeg2ratone,— / 0.500,4.0,0.2499631395,0.2531357501,0.2498249851,0.2505003307,0.2508143722,0.2544398991,0.2504179266,0.2507882799,0.2501871227,0.2519631329,0.25
11,Type-IV,CIRE,cire,0.5000 / 0.500,2.0,0.4922670729,0.545338116,0.5578467409,0.5169197626,0.5514543045,0.5664009202,0.5609942299,0.5608189166,0.5384357269,0.5057754144,0.5
12,Type-IV,DEAP_arousal,deaparousal,— / 0.1429,2.0,0.4977834158,0.4751618603,0.5070855969,0.5130941783,0.4995982039,0.495013007,0.4941180558,0.4902834017,0.493088507,0.5180051157,0.5
13,Type-IV,DEAP_valence,deapvalence,— / 0.1429,2.0,0.5028336238,0.5136537378,0.5270627604,0.4999511535,0.5173506916,0.5132047323,0.5008169075,0.5012181345,0.5036615134,0.5060025116,0.5
14,Type-II,Depression_rest,depressionrest,— / 0.500,2.0,0.5,0.4982908372,0.5003663051,0.5,0.494843169,0.5193399261,0.5001933251,0.5064696045,0.501085162,0.5187309361,0.5
15,Type-VI,DUAL_FREQ_SSVEP,dualfreqssvep,— / 0.333,40.0,0.028125,0.0359375,0.05625,0.0302083333,0.0364583333,0.0380208333,0.0276041667,0.0244791667,0.03125,0.0338541667,0.025
16,Type-IV,EEGMAT,eegmat,0.4750 / 0.500,2.0,0.4984567901,0.5494110318,0.4845679012,0.5,0.5030864198,0.6018660097,0.4953703704,0.5217040435,0.6160380564,0.4985134217,0.5
17,Type-II,EEG_Mortality_PD,eegmortalitypd,0.7580 / 0.500,2.0,0.4979489824,0.5788793964,0.5,0.5,0.5024737642,0.502025467,0.5,0.5,0.5273554184,0.5010684803,0.5
18,Type-IV,EEG_SVRec,eegsvrec,0.5003 / 0.500,2.0,0.5008192813,0.4996258455,0.5007452565,0.4992063201,0.5041734962,0.5050250504,0.507798909,0.5049037833,0.4974696209,0.5010153502,0.5
20,Type-VI,ExoEEG_WalkStop,exoeegwalkstop,0.0327 / 0.025,2.0,0.5048075374,0.5134444989,0.5261511953,0.5001395553,0.4970815578,0.5443281808,0.5023091622,0.5170341183,0.5259447227,0.5088276924,0.5
21,Type-IV,FACED,facednew,0.3313 / 0.333,9.0,0.1111111111,0.1589901868,0.1959480848,0.4953308009,0.1516302627,0.1617600506,0.1543209877,0.1522633745,0.1657169991,0.2215099715,0.1111111111111111
22,Type-III,HBN_EEG,hbneeg,0.3458 / 0.111,13.0,0.0803835056,0.1289014282,,0.1103088327,0.1006398709,0.1162869574,0.125335891,0.0974418263,0.0897364175,0.0904758043,0.07692307692307693
23,Type-II,HFO,hfo,0.7439 / 0.500,2.0,0.5044479031,0.5806066093,,0.5766793022,0.5771836937,0.5234025488,0.5350701175,0.5424831628,0.5430686724,0.5079511864,0.5
24,Type-III,HMC,hmc,0.2473 / 0.250,5.0,0.2025510233,0.5711706951,0.6600885269,0.4866075319,0.5540451646,0.6204304176,0.6316500629,0.5756857428,0.6499519312,0.6285144515,0.2
25,Type-III,ISRUC_S1,isrucs1,— / 0.100,5.0,0.230855861,0.5538524616,0.5956566413,0.4814793922,0.4978369264,0.5884396384,0.560227718,0.5474852612,0.6146482279,0.5632939578,0.2
26,Type-III,ISRUC_S2,isrucs2,0.8333 / 0.333,5.0,0.201769497,0.2664902604,0.2719456587,0.2024081394,0.2082621904,0.249895452,0.1819805028,0.2578305904,0.2008871986,0.2416930227,0.2
27,Type-III,ISRUC_S3,isrucs3,0.3946 / 0.200,5.0,0.1935136397,0.3310451818,0.3211093685,0.268620492,0.2973645506,0.3332623722,0.2748777345,0.2927819529,0.3380788763,0.3114764343,0.2
28,Type-II,LEMON_age,lemonage,0.3429 / 0.333,4.0,0.3333467708,0.4857103562,0.4552551106,0.3333333333,0.3315098192,0.4824340638,0.4375867142,0.4307553226,0.3885612784,0.4390467141,0.25
29,Type-II,LEMON_extraversial,lemonextraversion,0.6450 / 0.500,2.0,0.5032452984,0.4978077238,0.4749155116,0.5273440796,0.5062660046,0.5192380673,0.5016329018,0.4778947882,0.5087713277,0.5039384319,0.5
30,Type-II,LEMON_gender,lemongender,0.7340 / 0.500,2.0,0.4998314921,0.5802646216,0.5375259221,0.5051081517,0.4989839587,0.5535349971,0.5778729528,0.5327322976,0.5816966123,0.5372104918,0.5
31,Type-II,MDD,mdd,0.8020 / 0.500,2.0,0.5259175865,0.8616941314,0.9959199063,0.7495484678,0.7056463875,0.7440077518,0.7441721363,0.631404687,0.9195157366,0.8237497243,0.5
32,Type-II,MODMA,modma,0.2783 / 0.200,2.0,0.5,0.5,0.6572939068,0.5,0.6102150538,0.7727240143,0.5,0.5435483871,,0.5720430108,0.5
33,Type-VI,Monitering-Errp,monitoringerrp,0.6156 / 0.025,2.0,0.5004991778,0.5093742659,0.4932831219,0.4916314306,0.5115471576,0.4949054498,0.4904201903,0.4956101715,0.4969315245,0.4897888771,0.5
34,Type-IV,MusicEEG,musiceeg,0.5431 / 0.250,2.0,0.4725308642,0.449845679,,0.5685185185,0.5177469136,0.5095679012,0.5427469136,0.4847222222,0.5158950617,0.5171296296,0.5
35,Type-II,PD31,pd31,0.5263 / 0.500,2.0,0.4830464716,0.5513340679,0.5579297625,0.521126873,0.4304621163,0.5779354923,0.5008895482,0.4836656455,0.5136355423,0.5859328092,0.5
36,Type-III,PEARL_Neuro,pearlneuro,0.3234 / 0.333,3.0,0.3358062605,0.4641584306,,0.4552134038,0.4245483124,0.4658071776,0.4646264221,0.4484906458,0.4763896622,0.3870110401,0.3333333333333333
37,Type-VI,Physionet_MI,physionetmi,— / 0.500,4.0,0.2529979722,0.245044623,0.387929901,0.2676270308,,0.2932639362,0.2790967198,0.268127284,0.2961325236,,0.25
38,Type-III,RestCog,restcog,— / 0.250,5.0,0.2008518519,0.3688148148,,0.2597777778,0.2352962963,0.3409444444,0.3528703704,0.2804259259,0.3382037037,0.2334259259,0.2
39,Type-IV,SEED,seed,0.6626 / 0.500,3.0,0.35170663,0.4228337105,0.4917306338,0.5142274363,0.474609027,0.4086930431,,0.4654174938,0.5224365279,0.4202525039,0.3333333333333333
40,Type-IV,SEED_FRA,seedfra,— / 0.250,3.0,0.3333333333,0.3862316358,0.4167914247,0.4459649294,0.4118724665,0.4135041747,,0.359375465,,0.3542266979,0.3333333333333333
41,Type-IV,SEED_IV,seediv,0.3000 / 0.100,4.0,0.254845186,0.2269490667,0.3162829508,0.3114143329,0.282056741,0.3066076298,,0.2834805624,,0.2477954777,0.25
42,Type-IV,SEED_V,seedv,0.5402 / 0.500,5.0,0.2024866755,0.2660772426,0.2344782468,0.2076150541,0.2150337529,0.2993982797,0.233371317,0.2243561504,,0.2054496662,0.2
43,Type-IV,SEED_VIG,seedvig,0.2802 / 0.200,3.0,0.3324316973,0.3333333333,0.4299486563,0.3929905886,0.3780832874,0.5128044128,0.4164594936,0.4656319516,0.4999649382,0.3583060313,0.3333333333333333
44,Type-IV,SEED_VII,seedvii,— / 0.500,7.0,0.1482606542,0.1640932523,0.1871938553,0.190614865,0.1844676878,0.191874657,0.1808372996,0.1728714291,0.1770376098,0.1520326143,0.14285714285714285
45,Type-VI,SHU_MI,shumi,0.6727 / 0.200,2.0,0.4971536962,0.5076932705,0.5202260225,0.5166848332,0.4790943955,0.508221082,0.5144788464,0.5145500518,0.5025801093,0.5007890353,0.5
46,Type-II,Siena_EEG,sienaeeg,0.6290 / 0.200,2.0,0.6303823243,0.6522737433,0.6406104774,0.7993955775,,0.5112056265,,0.4342905088,,0.5441166973,0.5
47,Type-III,SleepEDF_full,sleepedffull,— / 0.333,5.0,0.2183040918,0.2,0.6699254612,0.5102699213,0.5256664779,0.6227847678,0.6901860154,0.6324307873,0.6961996384,0.4379523696,0.2
48,Type-VI,SSVEP,ssvep,— / 0.200,160.0,0.0136458333,0.00625,0.0167708333,0.0073958333,0.0103125,0.0052083333,0.0082291667,0.0060416667,0.0308333333,0.0067708333,0.00625
49,Type-II,TDBRAIN,tdbrain,0.6604 / 0.250,4.0,0.2783985102,0.3914605346,0.4086903173,0.3411323547,0.3232964272,0.3993623709,0.3911326599,0.383654312,0.3875216834,0.3074353306,0.25
50,Type-V,Things_EEG2,thingseeg2,0.5212 / 0.500,2.0,0.5,0.4969172,0.4995719589,0.5,0.4984586,0.4984586,0.5,0.5,0.5,0.5,0.5
51,Type-II,TUAB,tuab,— / 0.500,2.0,,0.7864577894,0.7308094862,,,,0.7405061852,,,,0.5
52,Type-II,TUEP,tuep,— / 0.500,2.0,,0.5871542376,0.5988083572,,,,,,,,0.5
53,Type-II,TUEV,tuev,— / 0.167,6.0,,0.6930945712,0.4239683825,,,,0.4137375307,,,,0.16666666666666666
54,Type-II,TUSL,tusl,- / 0.333,3.0,,0.6043817294,0.4724849225,,,,,,,,0.3333333333333333
55,Type-IV,Workload,workload,0.5411 / 0.250,3.0,0.3568232662,0.4548844146,0.437733035,0.4962714392,0.4295302013,0.4052945563,0.4824757644,0.3501118568,0.3754660701,0.4213273676,0.3333333333333333
