Category,dataset_display,model,rank
Type-IV,SEED,LaBraM,9.5
Type-IV,SEED_FRA,LaBraM,9.5
Type-IV,SEED_VII,LaBraM,2.0
Type-VI,SHU_MI,LaBraM,9.0
Type-II,Siena_EEG,LaBraM,9.0
Type-VI,SSVEP,LaBraM,6.0
Type-IV,Workload,LaBraM,2.0
Type-III,Awakening,BIOT,1.0
Type-VI,BCIC2A,BIOT,7.0
Type-V,BCI_Speech,BIOT,5.0
Type-VI,BETA_SSVEP,BIOT,4.0
Type-V,Broderick_CP,BIOT,1.0
Type-V,Broderick_Rev,BIOT,1.0
Type-V,ChineseEEG2_RA_Tone,BIOT,1.0
Type-IV,CIRE,BIOT,6.0
Type-VI,DUAL_FREQ_SSVEP,BIOT,6.0
Type-I,EEGDenoiseNet,BIOT,8.5
Type-III,HBN_EEG,BIOT,2.0
Type-II,HFO,BIOT,1.0
Type-III,HMC,BIOT,5.0
Type-I,Longitudinal_EEG_Reliability,BIOT,3.0
Type-VI,Monitering-Errp,BIOT,7.0
Type-III,PEARL_Neuro,BIOT,3.0
Type-VI,Physionet_MI,BIOT,8.0
Type-III,RestCog,BIOT,1.0
Type-IV,SEED,BIOT,3.0
Type-IV,SEED_FRA,BIOT,4.0
Type-IV,SEED_VII,BIOT,8.0
Type-VI,SHU_MI,BIOT,3.0
Type-II,Siena_EEG,BIOT,1.0
Type-VI,SSVEP,BIOT,9.0
Type-IV,Workload,BIOT,7.0
Type-III,Awakening,FEMBA,2.0
Type-VI,BCIC2A,FEMBA,1.0
Type-V,BCI_Speech,FEMBA,7.0
Type-VI,BETA_SSVEP,FEMBA,1.0
Type-V,Broderick_CP,FEMBA,3.0
Type-V,Broderick_Rev,FEMBA,4.0
Type-V,ChineseEEG2_RA_Tone,FEMBA,6.5
Type-IV,CIRE,FEMBA,1.0
Type-VI,DUAL_FREQ_SSVEP,FEMBA,3.0
Type-I,EEGDenoiseNet,FEMBA,8.5
Type-III,HBN_EEG,FEMBA,3.0
Type-II,HFO,FEMBA,7.0
Type-III,HMC,FEMBA,4.0
Type-I,Longitudinal_EEG_Reliability,FEMBA,5.0
Type-VI,Monitering-Errp,FEMBA,9.0
Type-III,PEARL_Neuro,FEMBA,1.0
Type-VI,Physionet_MI,FEMBA,6.0
Type-III,RestCog,FEMBA,4.0
Type-IV,SEED,FEMBA,4.0
Type-IV,SEED_FRA,FEMBA,4.0
Type-IV,SEED_VII,FEMBA,3.0
Type-VI,SHU_MI,FEMBA,2.0
Type-II,Siena_EEG,FEMBA,4.0
Type-VI,SSVEP,FEMBA,5.0
Type-IV,Workload,FEMBA,7.0
Type-III,Awakening,NeuroLM,4.0
Type-VI,BCIC2A,NeuroLM,9.0
Type-V,BCI_Speech,NeuroLM,1.0
Type-VI,BETA_SSVEP,NeuroLM,7.0
Type-V,Broderick_CP,NeuroLM,6.0
Type-V,Broderick_Rev,NeuroLM,3.0
Type-V,ChineseEEG2_RA_Tone,NeuroLM,6.5
Type-IV,CIRE,NeuroLM,9.0
Type-VI,DUAL_FREQ_SSVEP,NeuroLM,2.0
Type-I,EEGDenoiseNet,NeuroLM,8.5
Type-III,HBN_EEG,NeuroLM,8.0
Type-II,HFO,NeuroLM,2.0
Type-III,HMC,NeuroLM,1.0
Type-I,Longitudinal_EEG_Reliability,NeuroLM,1.0
Type-VI,Monitering-Errp,NeuroLM,1.0
Type-III,PEARL_Neuro,NeuroLM,2.0
Type-VI,Physionet_MI,NeuroLM,2.0
Type-III,RestCog,NeuroLM,3.0
Type-IV,SEED,NeuroLM,1.0
Type-IV,SEED_FRA,NeuroLM,9.5
Type-IV,SEED_VII,NeuroLM,4.0
Type-VI,SHU_MI,NeuroLM,4.0
Type-II,Siena_EEG,NeuroLM,9.0
Type-VI,SSVEP,NeuroLM,1.0
Type-IV,Workload,NeuroLM,1.0
Type-III,Awakening,CBraMod,6.0
Type-VI,BCIC2A,CBraMod,5.0
Type-V,BCI_Speech,CBraMod,2.0
Type-VI,BETA_SSVEP,CBraMod,5.0
Type-V,Broderick_CP,CBraMod,5.0
Type-V,Broderick_Rev,CBraMod,8.5
Type-V,ChineseEEG2_RA_Tone,CBraMod,6.5
Type-IV,CIRE,CBraMod,4.0
Type-VI,DUAL_FREQ_SSVEP,CBraMod,5.0
Type-I,EEGDenoiseNet,CBraMod,1.0
Type-III,HBN_EEG,CBraMod,5.0
Type-II,HFO,CBraMod,3.0
Type-III,HMC,CBraMod,8.0
Type-I,Longitudinal_EEG_Reliability,CBraMod,7.0
Type-VI,Monitering-Errp,CBraMod,5.0
Type-III,PEARL_Neuro,CBraMod,6.0
Type-VI,Physionet_MI,CBraMod,7.0
Type-III,RestCog,CBraMod,5.0
Type-IV,SEED,CBraMod,7.0
Type-IV,SEED_FRA,CBraMod,4.0
Type-IV,SEED_VII,CBraMod,5.0
Type-VI,SHU_MI,CBraMod,6.0
Type-II,Siena_EEG,CBraMod,6.0
Type-VI,SSVEP,CBraMod,7.5
Type-IV,Workload,CBraMod,7.0
Type-III,Awakening,NeuroGPT,5.0
Type-VI,BCIC2A,NeuroGPT,3.0
Type-V,BCI_Speech,NeuroGPT,6.0
Type-VI,BETA_SSVEP,NeuroGPT,6.0
Type-V,Broderick_CP,NeuroGPT,7.0
Type-V,Broderick_Rev,NeuroGPT,8.5
Type-V,ChineseEEG2_RA_Tone,NeuroGPT,6.5
Type-IV,CIRE,NeuroGPT,2.0
Type-VI,DUAL_FREQ_SSVEP,NeuroGPT,9.0
Type-I,EEGDenoiseNet,NeuroGPT,3.0
Type-III,HBN_EEG,NeuroGPT,6.0
Type-II,HFO,NeuroGPT,5.0
Type-III,HMC,NeuroGPT,7.0
Type-I,Longitudinal_EEG_Reliability,NeuroGPT,4.0
Type-VI,Monitering-Errp,NeuroGPT,6.0
Type-III,PEARL_Neuro,NeuroGPT,5.0
Type-VI,Physionet_MI,NeuroGPT,3.0
Type-III,RestCog,NeuroGPT,6.0
Type-IV,SEED,NeuroGPT,6.0
Type-IV,SEED_FRA,NeuroGPT,4.0
Type-IV,SEED_VII,NeuroGPT,6.0
Type-VI,SHU_MI,NeuroGPT,7.0
Type-II,Siena_EEG,NeuroGPT,3.0
Type-VI,SSVEP,NeuroGPT,7.5
Type-IV,Workload,NeuroGPT,7.0
Type-III,Awakening,REVE,8.0
Type-VI,BCIC2A,REVE,6.0
Type-V,BCI_Speech,REVE,9.5
Type-VI,BETA_SSVEP,REVE,9.0
Type-V,Broderick_CP,REVE,10.0
Type-V,Broderick_Rev,REVE,6.0
Type-V,ChineseEEG2_RA_Tone,REVE,2.0
Type-IV,CIRE,REVE,10.0
Type-VI,DUAL_FREQ_SSVEP,REVE,4.0
Type-I,EEGDenoiseNet,REVE,5.0
Type-III,HBN_EEG,REVE,7.0
Type-II,HFO,REVE,8.0
Type-III,HMC,REVE,9.0
Type-I,Longitudinal_EEG_Reliability,REVE,9.0
Type-VI,Monitering-Errp,REVE,9.0
Type-III,PEARL_Neuro,REVE,8.0
Type-VI,Physionet_MI,REVE,9.5
Type-III,RestCog,REVE,7.0
Type-IV,SEED,REVE,8.0
Type-IV,SEED_FRA,REVE,4.0
Type-IV,SEED_VII,REVE,9.0
Type-VI,SHU_MI,REVE,9.0
Type-II,Siena_EEG,REVE,5.0
Type-VI,SSVEP,REVE,10.0
Type-IV,Workload,REVE,7.0
Type-III,Awakening,EEGMamba,7.0
Type-VI,BCIC2A,EEGMamba,4.0
Type-V,BCI_Speech,EEGMamba,4.0
Type-VI,BETA_SSVEP,EEGMamba,9.0
Type-V,Broderick_CP,EEGMamba,8.0
Type-V,Broderick_Rev,EEGMamba,10.0
Type-V,ChineseEEG2_RA_Tone,EEGMamba,6.5
Type-IV,CIRE,EEGMamba,5.0
Type-VI,DUAL_FREQ_SSVEP,EEGMamba,7.0
Type-I,EEGDenoiseNet,EEGMamba,8.5
Type-III,HBN_EEG,EEGMamba,4.0
Type-II,HFO,EEGMamba,4.0
Type-III,HMC,EEGMamba,6.0
Type-I,Longitudinal_EEG_Reliability,EEGMamba,8.0
Type-VI,Monitering-Errp,EEGMamba,3.0
Type-III,PEARL_Neuro,EEGMamba,7.0
Type-VI,Physionet_MI,EEGMamba,9.5
Type-III,RestCog,EEGMamba,8.0
Type-IV,SEED,EEGMamba,5.0
Type-IV,SEED_FRA,EEGMamba,4.0
Type-IV,SEED_VII,EEGMamba,7.0
Type-VI,SHU_MI,EEGMamba,5.0
Type-II,Siena_EEG,EEGMamba,9.0
Type-VI,SSVEP,EEGMamba,3.5
Type-IV,Workload,EEGMamba,3.0
Type-III,Awakening,BENDR,9.0
Type-VI,BCIC2A,BENDR,9.0
Type-V,BCI_Speech,BENDR,8.0
Type-VI,BETA_SSVEP,BENDR,3.0
Type-V,Broderick_CP,BENDR,9.0
Type-V,Broderick_Rev,BENDR,7.0
Type-V,ChineseEEG2_RA_Tone,BENDR,6.5
Type-IV,CIRE,BENDR,7.0
Type-VI,DUAL_FREQ_SSVEP,BENDR,9.0
Type-I,EEGDenoiseNet,BENDR,6.0
Type-III,HBN_EEG,BENDR,9.0
Type-II,HFO,BENDR,9.5
Type-III,HMC,BENDR,10.0
Type-I,Longitudinal_EEG_Reliability,BENDR,10.0
Type-VI,Monitering-Errp,BENDR,4.0
Type-III,PEARL_Neuro,BENDR,9.0
Type-VI,Physionet_MI,BENDR,4.0
Type-III,RestCog,BENDR,9.0
Type-IV,SEED,BENDR,9.5
Type-IV,SEED_FRA,BENDR,8.0
Type-IV,SEED_VII,BENDR,10.0
Type-VI,SHU_MI,BENDR,9.0
Type-II,Siena_EEG,BENDR,7.0
Type-VI,SSVEP,BENDR,3.5
Type-IV,Workload,BENDR,7.0
