Category,dataset_display,model,rank
Type-V,BCI_Speech,BIOT,6.0
Type-V,Broderick_CP,BIOT,10.0
Type-V,Broderick_Rev,BIOT,10.0
Type-V,ChineseEEG2_RA_Tone,BIOT,2.0
Type-V,Things_EEG2,BIOT,10.0
Type-VI,BCIC2A,BIOT,8.0
Type-VI,BCIC4_1,BIOT,10.0
Type-VI,Physionet_MI,BIOT,8.0
Type-VI,SHU_MI,BIOT,6.0
Type-VI,BETA_SSVEP,BIOT,5.5
Type-VI,BenchmarkSSVEP,BIOT,4.0
Type-VI,DUAL_FREQ_SSVEP,BIOT,4.0
Type-VI,SSVEP,BIOT,10.0
Type-VI,Monitering-Errp,BIOT,2.0
Type-VI,ExoEEG_WalkStop,BIOT,5.0
Type-I,Longitudinal_EEG_Reliability,FEMBA,4.0
Type-II,LEMON_age,FEMBA,2.0
Type-II,LEMON_gender,FEMBA,4.0
Type-II,LEMON_extraversial,FEMBA,2.0
Type-II,HFO,FEMBA,7.0
Type-II,Siena_EEG,FEMBA,6.0
Type-II,ADHD,FEMBA,2.0
Type-II,AD65,FEMBA,3.0
Type-II,PD31,FEMBA,10.0
Type-II,EEG_Mortality_PD,FEMBA,4.0
Type-II,MDD,FEMBA,7.0
Type-II,TDBRAIN,FEMBA,2.0
Type-II,Depression_rest,FEMBA,1.0
Type-II,MODMA,FEMBA,1.0
Type-III,Awakening,FEMBA,1.0
Type-III,ISRUC_S1,FEMBA,3.0
Type-III,ISRUC_S2,FEMBA,4.0
Type-III,ISRUC_S3,FEMBA,2.0
Type-III,SleepEDF_full,FEMBA,5.0
Type-III,HMC,FEMBA,5.0
Type-III,HBN_EEG,FEMBA,3.0
Type-III,PEARL_Neuro,FEMBA,2.0
Type-III,RestCog,FEMBA,3.0
Type-IV,SEED_VIG,FEMBA,1.0
Type-IV,DEAP_arousal,FEMBA,10.0
Type-IV,DEAP_valence,FEMBA,4.0
Type-IV,SEED,FEMBA,7.0
Type-IV,SEED_IV,FEMBA,3.0
Type-IV,SEED_V,FEMBA,1.0
Type-IV,SEED_VII,FEMBA,1.0
Type-IV,SEED_FRA,FEMBA,3.5
Type-IV,EEG_SVRec,FEMBA,2.0
Type-IV,MusicEEG,FEMBA,6.0
Type-IV,CIRE,FEMBA,1.0
Type-IV,EEGMAT,FEMBA,2.0
Type-IV,Workload,FEMBA,7.0
Type-V,BCI_Speech,FEMBA,10.0
Type-V,Broderick_CP,FEMBA,10.0
Type-V,Broderick_Rev,FEMBA,10.0
Type-V,ChineseEEG2_RA_Tone,FEMBA,1.0
Type-V,Things_EEG2,FEMBA,10.0
Type-VI,BCIC2A,FEMBA,4.0
Type-VI,BCIC4_1,FEMBA,10.0
Type-VI,Physionet_MI,FEMBA,3.0
Type-VI,SHU_MI,FEMBA,5.0
Type-VI,BETA_SSVEP,FEMBA,2.0
Type-VI,BenchmarkSSVEP,FEMBA,5.0
Type-VI,DUAL_FREQ_SSVEP,FEMBA,2.0
Type-VI,SSVEP,FEMBA,10.0
Type-VI,Monitering-Errp,FEMBA,10.0
Type-VI,ExoEEG_WalkStop,FEMBA,1.0
Type-I,Longitudinal_EEG_Reliability,NeuroLM,2.0
Type-II,LEMON_age,NeuroLM,7.0
Type-II,LEMON_gender,NeuroLM,1.0
Type-II,LEMON_extraversial,NeuroLM,3.0
Type-II,HFO,NeuroLM,4.0
Type-II,ADHD,NeuroLM,4.0
Type-II,AD65,NeuroLM,6.0
Type-II,PD31,NeuroLM,10.0
Type-II,EEG_Mortality_PD,NeuroLM,2.0
Type-II,MDD,NeuroLM,2.0
Type-II,TDBRAIN,NeuroLM,6.0
Type-II,Depression_rest,NeuroLM,3.0
Type-III,Awakening,NeuroLM,5.0
Type-III,ISRUC_S1,NeuroLM,1.0
Type-III,ISRUC_S2,NeuroLM,9.0
Type-III,ISRUC_S3,NeuroLM,1.0
Type-III,SleepEDF_full,NeuroLM,1.0
Type-III,HMC,NeuroLM,2.0
Type-III,HBN_EEG,NeuroLM,8.0
Type-III,PEARL_Neuro,NeuroLM,1.0
Type-III,RestCog,NeuroLM,4.0
Type-IV,SEED_VIG,NeuroLM,2.0
Type-IV,DEAP_arousal,NeuroLM,10.0
Type-IV,DEAP_valence,NeuroLM,6.0
Type-IV,SEED,NeuroLM,1.0
Type-IV,SEED_VII,NeuroLM,6.0
Type-IV,EEG_SVRec,NeuroLM,10.0
Type-IV,MusicEEG,NeuroLM,5.0
Type-IV,CIRE,NeuroLM,7.0
Type-IV,EEGMAT,NeuroLM,1.0
Type-IV,Workload,NeuroLM,8.0
Type-V,BCI_Speech,NeuroLM,1.0
Type-V,Broderick_CP,NeuroLM,10.0
Type-V,Broderick_Rev,NeuroLM,10.0
Type-V,ChineseEEG2_RA_Tone,NeuroLM,8.0
Type-V,Things_EEG2,NeuroLM,10.0
Type-VI,BCIC4_1,NeuroLM,10.0
Type-VI,Physionet_MI,NeuroLM,2.0
Type-VI,SHU_MI,NeuroLM,7.0
Type-VI,BETA_SSVEP,NeuroLM,4.0
Type-VI,BenchmarkSSVEP,NeuroLM,8.0
Type-VI,DUAL_FREQ_SSVEP,NeuroLM,6.0
Type-VI,SSVEP,NeuroLM,1.0
Type-VI,Monitering-Errp,NeuroLM,10.0
Type-VI,ExoEEG_WalkStop,NeuroLM,3.0
Type-I,Longitudinal_EEG_Reliability,CBraMod,8.0
Type-II,LEMON_age,CBraMod,9.0
Type-II,LEMON_gender,CBraMod,8.0
Type-II,LEMON_extraversial,CBraMod,1.0
Type-II,HFO,CBraMod,3.0
Type-II,Siena_EEG,CBraMod,1.0
Type-II,ADHD,CBraMod,8.0
Type-II,AD65,CBraMod,7.0
Type-II,PD31,CBraMod,10.0
Type-II,EEG_Mortality_PD,CBraMod,10.0
Type-II,MDD,CBraMod,5.0
Type-II,TDBRAIN,CBraMod,7.0
Type-II,Depression_rest,CBraMod,10.0
Type-II,MODMA,CBraMod,9.0
Type-III,Awakening,CBraMod,9.0
Type-III,ISRUC_S1,CBraMod,9.0
Type-III,ISRUC_S2,CBraMod,7.0
Type-III,ISRUC_S3,CBraMod,9.0
Type-III,SleepEDF_full,CBraMod,7.0
Type-III,HMC,CBraMod,9.0
Type-III,HBN_EEG,CBraMod,4.0
Type-III,PEARL_Neuro,CBraMod,5.0
Type-III,RestCog,CBraMod,6.0
Type-IV,SEED_VIG,CBraMod,6.0
Type-IV,DEAP_arousal,CBraMod,1.0
Type-IV,DEAP_valence,CBraMod,10.0
Type-IV,SEED,CBraMod,2.0
Type-IV,SEED_IV,CBraMod,2.0
Type-IV,SEED_V,CBraMod,7.0
Type-IV,SEED_VII,CBraMod,2.0
Type-IV,SEED_FRA,CBraMod,3.5
Type-IV,EEG_SVRec,CBraMod,10.0
Type-IV,MusicEEG,CBraMod,1.0
Type-IV,CIRE,CBraMod,8.0
Type-IV,EEGMAT,CBraMod,10.0
Type-IV,Workload,CBraMod,1.0
Type-V,BCI_Speech,CBraMod,7.0
Type-V,Broderick_CP,CBraMod,10.0
Type-V,Broderick_Rev,CBraMod,1.0
Type-V,ChineseEEG2_RA_Tone,CBraMod,6.0
Type-V,Things_EEG2,CBraMod,10.0
Type-VI,BCIC2A,CBraMod,3.0
Type-VI,BCIC4_1,CBraMod,2.0
Type-VI,Physionet_MI,CBraMod,6.0
Type-VI,SHU_MI,CBraMod,2.0
Type-VI,BETA_SSVEP,CBraMod,5.5
Type-VI,BenchmarkSSVEP,CBraMod,1.0
Type-VI,DUAL_FREQ_SSVEP,CBraMod,7.0
Type-VI,SSVEP,CBraMod,6.0
Type-VI,Monitering-Errp,CBraMod,10.0
Type-VI,ExoEEG_WalkStop,CBraMod,9.0
Type-I,Longitudinal_EEG_Reliability,NeuroGPT,7.0
Type-II,LEMON_age,NeuroGPT,6.0
Type-II,LEMON_gender,NeuroGPT,7.0
Type-II,LEMON_extraversial,NeuroGPT,10.0
Type-II,HFO,NeuroGPT,5.0
Type-II,Siena_EEG,NeuroGPT,7.0
Type-II,ADHD,NeuroGPT,1.0
Type-II,AD65,NeuroGPT,5.0
Type-II,PD31,NeuroGPT,10.0
Type-II,EEG_Mortality_PD,NeuroGPT,10.0
Type-II,MDD,NeuroGPT,9.0
Type-II,TDBRAIN,NeuroGPT,5.0
Type-II,Depression_rest,NeuroGPT,2.0
Type-II,MODMA,NeuroGPT,4.0
Type-III,Awakening,NeuroGPT,6.0
Type-III,ISRUC_S1,NeuroGPT,7.0
Type-III,ISRUC_S2,NeuroGPT,3.0
Type-III,ISRUC_S3,NeuroGPT,7.0
Type-III,SleepEDF_full,NeuroGPT,4.0
Type-III,HMC,NeuroGPT,6.0
Type-III,HBN_EEG,NeuroGPT,6.0
Type-III,PEARL_Neuro,NeuroGPT,6.0
Type-III,RestCog,NeuroGPT,5.0
Type-IV,SEED_VIG,NeuroGPT,3.0
Type-IV,DEAP_arousal,NeuroGPT,10.0
Type-IV,DEAP_valence,NeuroGPT,8.0
Type-IV,SEED,NeuroGPT,5.0
Type-IV,SEED_IV,NeuroGPT,4.0
Type-IV,SEED_V,NeuroGPT,5.0
Type-IV,SEED_VII,NeuroGPT,7.0
Type-IV,SEED_FRA,NeuroGPT,3.5
Type-IV,EEG_SVRec,NeuroGPT,3.0
Type-IV,MusicEEG,NeuroGPT,9.0
Type-IV,CIRE,NeuroGPT,3.0
Type-IV,EEGMAT,NeuroGPT,4.0
Type-IV,Workload,NeuroGPT,10.0
Type-V,BCI_Speech,NeuroGPT,10.0
Type-V,Broderick_CP,NeuroGPT,10.0
Type-V,Broderick_Rev,NeuroGPT,10.0
Type-V,ChineseEEG2_RA_Tone,NeuroGPT,5.0
Type-V,Things_EEG2,NeuroGPT,10.0
Type-VI,BCIC2A,NeuroGPT,5.0
Type-VI,BCIC4_1,NeuroGPT,10.0
Type-VI,Physionet_MI,NeuroGPT,5.0
Type-VI,SHU_MI,NeuroGPT,3.0
Type-VI,BETA_SSVEP,NeuroGPT,8.0
Type-VI,BenchmarkSSVEP,NeuroGPT,9.0
Type-VI,DUAL_FREQ_SSVEP,NeuroGPT,10.0
Type-VI,SSVEP,NeuroGPT,10.0
Type-VI,Monitering-Errp,NeuroGPT,10.0
Type-VI,ExoEEG_WalkStop,NeuroGPT,4.0
Type-I,Longitudinal_EEG_Reliability,REVE,9.0
Type-II,LEMON_age,REVE,4.0
Type-II,LEMON_gender,REVE,6.0
Type-II,LEMON_extraversial,REVE,5.0
Type-II,HFO,REVE,8.0
Type-II,Siena_EEG,REVE,5.0
Type-II,ADHD,REVE,10.0
Type-II,AD65,REVE,10.0
Type-II,PD31,REVE,10.0
Type-II,EEG_Mortality_PD,REVE,5.0
Type-II,MDD,REVE,4.0
Type-II,TDBRAIN,REVE,9.0
Type-II,Depression_rest,REVE,10.0
Type-II,MODMA,REVE,5.0
Type-III,Awakening,REVE,2.0
Type-III,ISRUC_S1,REVE,4.0
Type-III,ISRUC_S2,REVE,5.0
Type-III,ISRUC_S3,REVE,5.0
Type-III,SleepEDF_full,REVE,8.0
Type-III,HMC,REVE,4.0
Type-III,HBN_EEG,REVE,7.0
Type-III,PEARL_Neuro,REVE,8.0
Type-III,RestCog,REVE,8.0
Type-IV,SEED_VIG,REVE,8.0
Type-IV,DEAP_arousal,REVE,10.0
Type-IV,DEAP_valence,REVE,5.0
Type-IV,SEED,REVE,8.0
Type-IV,SEED_IV,REVE,8.0
Type-IV,SEED_V,REVE,8.0
Type-IV,SEED_VII,REVE,9.0
Type-IV,SEED_FRA,REVE,7.5
Type-IV,EEG_SVRec,REVE,5.0
Type-IV,FACED,REVE,1.0
Type-IV,MusicEEG,REVE,4.0
Type-IV,CIRE,REVE,9.0
Type-IV,EEGMAT,REVE,10.0
Type-IV,Workload,REVE,6.0
Type-V,BCI_Speech,REVE,10.0
Type-V,Broderick_CP,REVE,10.0
Type-V,Broderick_Rev,REVE,10.0
Type-V,ChineseEEG2_RA_Tone,REVE,3.0
Type-V,Things_EEG2,REVE,10.0
Type-VI,BCIC2A,REVE,8.0
Type-VI,BCIC4_1,REVE,1.0
Type-VI,SHU_MI,REVE,8.0
Type-VI,BETA_SSVEP,REVE,10.0
Type-VI,BenchmarkSSVEP,REVE,3.0
Type-VI,DUAL_FREQ_SSVEP,REVE,5.0
Type-VI,SSVEP,REVE,7.0
Type-VI,Monitering-Errp,REVE,10.0
Type-VI,ExoEEG_WalkStop,REVE,6.0
Type-I,Longitudinal_EEG_Reliability,EEGMamba,6.0
Type-II,LEMON_age,EEGMamba,10.0
Type-II,LEMON_gender,EEGMamba,10.0
Type-II,LEMON_extraversial,EEGMamba,4.0
Type-II,HFO,EEGMamba,2.0
Type-II,ADHD,EEGMamba,7.0
Type-II,AD65,EEGMamba,8.0
Type-II,PD31,EEGMamba,10.0
Type-II,EEG_Mortality_PD,EEGMamba,3.0
Type-II,MDD,EEGMamba,8.0
Type-II,TDBRAIN,EEGMamba,8.0
Type-II,Depression_rest,EEGMamba,10.0
Type-II,MODMA,EEGMamba,3.0
Type-III,Awakening,EEGMamba,9.0
Type-III,ISRUC_S1,EEGMamba,8.0
Type-III,ISRUC_S2,EEGMamba,6.0
Type-III,ISRUC_S3,EEGMamba,6.0
Type-III,SleepEDF_full,EEGMamba,6.0
Type-III,HMC,EEGMamba,8.0
Type-III,HBN_EEG,EEGMamba,5.0
Type-III,PEARL_Neuro,EEGMamba,7.0
Type-III,RestCog,EEGMamba,7.0
Type-IV,SEED_VIG,EEGMamba,7.0
Type-IV,DEAP_arousal,EEGMamba,10.0
Type-IV,DEAP_valence,EEGMamba,2.0
Type-IV,SEED,EEGMamba,4.0
Type-IV,SEED_IV,EEGMamba,5.0
Type-IV,SEED_V,EEGMamba,6.0
Type-IV,SEED_VII,EEGMamba,4.0
Type-IV,SEED_FRA,EEGMamba,3.5
Type-IV,EEG_SVRec,EEGMamba,4.0
Type-IV,MusicEEG,EEGMamba,3.0
Type-IV,CIRE,EEGMamba,5.0
Type-IV,EEGMAT,EEGMamba,5.0
Type-IV,Workload,EEGMamba,5.0
Type-V,BCI_Speech,EEGMamba,4.0
Type-V,Broderick_CP,EEGMamba,10.0
Type-V,Broderick_Rev,EEGMamba,10.0
Type-V,ChineseEEG2_RA_Tone,EEGMamba,4.0
Type-V,Things_EEG2,EEGMamba,10.0
Type-VI,BCIC2A,EEGMamba,2.0
Type-VI,BCIC4_1,EEGMamba,10.0
Type-VI,SHU_MI,EEGMamba,10.0
Type-VI,BETA_SSVEP,EEGMamba,7.0
Type-VI,BenchmarkSSVEP,EEGMamba,6.0
Type-VI,DUAL_FREQ_SSVEP,EEGMamba,3.0
Type-VI,SSVEP,EEGMamba,4.0
Type-VI,Monitering-Errp,EEGMamba,1.0
Type-VI,ExoEEG_WalkStop,EEGMamba,10.0
Type-I,Longitudinal_EEG_Reliability,BENDR,10.0
Type-II,LEMON_age,BENDR,8.0
Type-II,LEMON_gender,BENDR,10.0
Type-II,LEMON_extraversial,BENDR,6.0
Type-II,HFO,BENDR,9.0
Type-II,Siena_EEG,BENDR,4.0
Type-II,ADHD,BENDR,10.0
Type-II,AD65,BENDR,9.0
Type-II,PD31,BENDR,10.0
Type-II,EEG_Mortality_PD,BENDR,10.0
Type-II,MDD,BENDR,10.0
Type-II,TDBRAIN,BENDR,10.0
Type-II,Depression_rest,BENDR,10.0
Type-II,MODMA,BENDR,9.0
Type-III,Awakening,BENDR,9.0
Type-III,ISRUC_S1,BENDR,10.0
Type-III,ISRUC_S2,BENDR,8.0
Type-III,ISRUC_S3,BENDR,10.0
Type-III,SleepEDF_full,BENDR,9.0
Type-III,HMC,BENDR,10.0
Type-III,HBN_EEG,BENDR,9.0
Type-III,PEARL_Neuro,BENDR,9.0
Type-III,RestCog,BENDR,9.0
Type-IV,SEED_VIG,BENDR,10.0
Type-IV,DEAP_arousal,BENDR,10.0
Type-IV,DEAP_valence,BENDR,7.0
Type-IV,SEED,BENDR,9.0
Type-IV,SEED_IV,BENDR,6.0
Type-IV,SEED_V,BENDR,9.0
Type-IV,SEED_VII,BENDR,10.0
Type-IV,SEED_FRA,BENDR,7.5
Type-IV,EEG_SVRec,BENDR,6.0
Type-IV,MusicEEG,BENDR,9.0
Type-IV,CIRE,BENDR,10.0
Type-IV,EEGMAT,BENDR,10.0
Type-IV,Workload,BENDR,9.0
Type-V,BCI_Speech,BENDR,5.0
Type-V,Broderick_CP,BENDR,10.0
Type-V,Broderick_Rev,BENDR,10.0
Type-V,ChineseEEG2_RA_Tone,BENDR,10.0
Type-V,Things_EEG2,BENDR,10.0
Type-VI,BCIC2A,BENDR,8.0
Type-VI,BCIC4_1,BENDR,10.0
Type-VI,Physionet_MI,BENDR,7.0
Type-VI,SHU_MI,BENDR,10.0
Type-VI,BETA_SSVEP,BENDR,3.0
Type-VI,BenchmarkSSVEP,BENDR,10.0
Type-VI,DUAL_FREQ_SSVEP,BENDR,8.0
Type-VI,SSVEP,BENDR,3.0
Type-VI,Monitering-Errp,BENDR,3.0
Type-VI,ExoEEG_WalkStop,BENDR,7.0
