category,dataset,dataset_exp_name,csv_dataset,seed,model,model_label,accuracy,chance_level,source_csv
Type-V,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,0,neurogpt,NeuroGPT,0.2494214899,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,0,reve,REVE,0.2516998277,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,0,eegmamba,EEGMamba,0.2485592712,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,0,bendr,BENDR,0.2463608008,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,DUAL_FREQ_SSVEP,DUAL_FREQ_SSVEP_wsn,DUAL_FREQ_SSVEP_wsn,0,brainomni,BrainOmni,0.0541404694,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,DUAL_FREQ_SSVEP,DUAL_FREQ_SSVEP_wsn,DUAL_FREQ_SSVEP_wsn,0,labram,LaBraM,0.0226630314,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,DUAL_FREQ_SSVEP,DUAL_FREQ_SSVEP_wsn,DUAL_FREQ_SSVEP_wsn,0,biot,BIOT,0.0283649106,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,DUAL_FREQ_SSVEP,DUAL_FREQ_SSVEP_wsn,DUAL_FREQ_SSVEP_wsn,0,femba,FEMBA,0.0355055627,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,DUAL_FREQ_SSVEP,DUAL_FREQ_SSVEP_wsn,DUAL_FREQ_SSVEP_wsn,0,neurolm,NeuroLM,0.0370588439,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,DUAL_FREQ_SSVEP,DUAL_FREQ_SSVEP_wsn,DUAL_FREQ_SSVEP_wsn,0,cbramod,CBraMod,0.0291931217,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,DUAL_FREQ_SSVEP,DUAL_FREQ_SSVEP_wsn,DUAL_FREQ_SSVEP_wsn,0,neurogpt,NeuroGPT,0.0210041926,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,DUAL_FREQ_SSVEP,DUAL_FREQ_SSVEP_wsn,DUAL_FREQ_SSVEP_wsn,0,reve,REVE,0.0321480371,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,DUAL_FREQ_SSVEP,DUAL_FREQ_SSVEP_wsn,DUAL_FREQ_SSVEP_wsn,0,eegmamba,EEGMamba,0.0252513228,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,DUAL_FREQ_SSVEP,DUAL_FREQ_SSVEP_wsn,DUAL_FREQ_SSVEP_wsn,0,bendr,BENDR,0.0245072751,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet_singleCOz,0,brainomni,BrainOmni,0.6077027948,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet_singleCOz,0,labram,LaBraM,0.7610770279,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet_singleCOz,0,biot,BIOT,0.5,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet_singleCOz,0,femba,FEMBA,0.5,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet_singleCOz,0,neurolm,NeuroLM,0.5,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet_singleCOz,0,cbramod,CBraMod,0.9986366735,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet_singleCOz,0,neurogpt,NeuroGPT,0.7113156101,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet_singleCOz,0,reve,REVE,0.6209952284,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet_singleCOz,0,eegmamba,EEGMamba,0.5,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet_singleCOz,0,bendr,BENDR,0.5074982958,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HBN_EEG,HBN_EEG,HBN_EEG,0,brainomni,BrainOmni,0.1296373525,0.07692307692307693,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HBN_EEG,HBN_EEG,HBN_EEG,0,labram,LaBraM,0.1295722196,0.07692307692307693,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HBN_EEG,HBN_EEG,HBN_EEG,0,biot,BIOT,0.1212018776,0.07692307692307693,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HBN_EEG,HBN_EEG,HBN_EEG,0,femba,FEMBA,0.1137793417,0.07692307692307693,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HBN_EEG,HBN_EEG,HBN_EEG,0,neurolm,NeuroLM,0.0866608257,0.07692307692307693,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HBN_EEG,HBN_EEG,HBN_EEG,0,cbramod,CBraMod,0.1073416296,0.07692307692307693,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HBN_EEG,HBN_EEG,HBN_EEG,0,neurogpt,NeuroGPT,0.1046255114,0.07692307692307693,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HBN_EEG,HBN_EEG,HBN_EEG,0,reve,REVE,0.0908767345,0.07692307692307693,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HBN_EEG,HBN_EEG,HBN_EEG,0,eegmamba,EEGMamba,0.1102571964,0.07692307692307693,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HBN_EEG,HBN_EEG,HBN_EEG,0,bendr,BENDR,0.079809775,0.07692307692307693,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,HFO,HFO,HFO,0,brainomni,BrainOmni,0.5939654645,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,HFO,HFO,HFO,0,labram,LaBraM,0.5859731448,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,HFO,HFO,HFO,0,biot,BIOT,0.6384674477,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,HFO,HFO,HFO,0,femba,FEMBA,0.5528449471,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,HFO,HFO,HFO,0,neurolm,NeuroLM,0.6318778536,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,HFO,HFO,HFO,0,cbramod,CBraMod,0.62047478,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,HFO,HFO,HFO,0,neurogpt,NeuroGPT,0.5887686263,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,HFO,HFO,HFO,0,reve,REVE,0.5260759296,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,HFO,HFO,HFO,0,eegmamba,EEGMamba,0.5983152528,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-I,HFO,HFO,HFO,0,bendr,BENDR,0.4992669429,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HMC,HMC,HMC,0,brainomni,BrainOmni,0.6562630636,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HMC,HMC,HMC,0,labram,LaBraM,0.6443293991,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HMC,HMC,HMC,0,biot,BIOT,0.5760222935,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HMC,HMC,HMC,0,femba,FEMBA,0.6018358859,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HMC,HMC,HMC,0,neurolm,NeuroLM,0.6590826536,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HMC,HMC,HMC,0,cbramod,CBraMod,0.5069487974,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,HMC,HMC,HMC,0,neurogpt,NeuroGPT,0.5713198637,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
