category,dataset,model,mean_accuracy,n_seed,chance_level
Type-IV,CIRE,labram,0.5063564304,1,0.5
Type-IV,CIRE,neurogpt,0.5449411264,1,0.5
Type-IV,CIRE,neurolm,0.5062976482,1,0.5
Type-IV,CIRE,reve,0.5125767696,1,0.5
Type-IV,SEED,bendr,0.3334629411,1,0.3333333333333333
Type-IV,SEED,biot,0.4888001938,1,0.3333333333333333
Type-IV,SEED,brainomni,0.5047745679,1,0.3333333333333333
Type-IV,SEED,cbramod,0.4787785864,1,0.3333333333333333
Type-IV,SEED,eegmamba,0.4261454346,1,0.3333333333333333
Type-IV,SEED,femba,0.4404184546,1,0.3333333333333333
Type-IV,SEED,neurogpt,0.4436371499,1,0.3333333333333333
Type-IV,SEED,neurolm,0.48068701,1,0.3333333333333333
Type-IV,SEED,reve,0.3781558913,1,0.3333333333333333
Type-IV,SEED_FRA,bendr,,1,0.3333333333333333
Type-IV,SEED_FRA,biot,0.4309173688,1,0.3333333333333333
Type-IV,SEED_FRA,brainomni,0.4262278961,1,0.3333333333333333
Type-IV,SEED_FRA,cbramod,0.4215432715,1,0.3333333333333333
Type-IV,SEED_FRA,eegmamba,0.3896759767,1,0.3333333333333333
Type-IV,SEED_FRA,femba,0.4112884922,1,0.3333333333333333
Type-IV,SEED_FRA,neurogpt,0.3733448305,1,0.3333333333333333
Type-IV,SEED_FRA,reve,0.346541976,1,0.3333333333333333
Type-IV,SEED_VII,bendr,0.1492422925,1,0.14285714285714285
Type-IV,SEED_VII,biot,0.1647819251,1,0.14285714285714285
Type-IV,SEED_VII,brainomni,0.2054753143,1,0.14285714285714285
Type-IV,SEED_VII,cbramod,0.182251644,1,0.14285714285714285
Type-IV,SEED_VII,eegmamba,0.1731637847,1,0.14285714285714285
Type-IV,SEED_VII,femba,0.1903697377,1,0.14285714285714285
Type-IV,SEED_VII,labram,0.196309334,1,0.14285714285714285
Type-IV,SEED_VII,neurogpt,0.1812050184,1,0.14285714285714285
Type-IV,SEED_VII,neurolm,0.1850046309,1,0.14285714285714285
Type-IV,SEED_VII,reve,0.1501901278,1,0.14285714285714285
Type-IV,Workload,bendr,,1,0.3333333333333333
Type-IV,Workload,biot,,1,0.3333333333333333
Type-IV,Workload,brainomni,,1,0.3333333333333333
Type-IV,Workload,cbramod,,1,0.3333333333333333
Type-IV,Workload,eegmamba,0.3340790455,1,0.3333333333333333
Type-IV,Workload,femba,,1,0.3333333333333333
Type-IV,Workload,labram,0.3354958986,1,0.3333333333333333
Type-IV,Workload,neurogpt,,1,0.3333333333333333
Type-IV,Workload,neurolm,0.3564752672,1,0.3333333333333333
Type-IV,Workload,reve,,1,0.3333333333333333
Type-V,BCI_Speech,bendr,0.2014223118,1,0.2
Type-V,BCI_Speech,biot,0.2088519224,1,0.2
Type-V,BCI_Speech,brainomni,,1,0.2
Type-V,BCI_Speech,cbramod,0.2242657088,1,0.2
Type-V,BCI_Speech,eegmamba,0.2123672434,1,0.2
Type-V,BCI_Speech,femba,0.2041400805,1,0.2
Type-V,BCI_Speech,labram,0.2178797487,1,0.2
Type-V,BCI_Speech,neurogpt,0.2057639343,1,0.2
Type-V,BCI_Speech,neurolm,0.2339697464,1,0.2
Type-V,BCI_Speech,reve,,1,0.2
Type-V,ChineseEEG2_RA_Tone,bendr,,1,0.25
Type-V,ChineseEEG2_RA_Tone,biot,0.2517000499,1,0.25
Type-V,ChineseEEG2_RA_Tone,brainomni,,1,0.25
Type-V,ChineseEEG2_RA_Tone,cbramod,,1,0.25
Type-V,ChineseEEG2_RA_Tone,eegmamba,,1,0.25
Type-V,ChineseEEG2_RA_Tone,femba,,1,0.25
Type-V,ChineseEEG2_RA_Tone,labram,,1,0.25
Type-V,ChineseEEG2_RA_Tone,neurogpt,,1,0.25
Type-V,ChineseEEG2_RA_Tone,neurolm,,1,0.25
Type-V,ChineseEEG2_RA_Tone,reve,0.2516998277,1,0.25
Type-VI,BETA_SSVEP,bendr,0.0338850642,1,0.025
Type-VI,BETA_SSVEP,biot,0.0304805596,1,0.025
Type-VI,BETA_SSVEP,brainomni,0.0358394133,1,0.025
Type-VI,BETA_SSVEP,cbramod,0.0286126721,1,0.025
Type-VI,BETA_SSVEP,eegmamba,,1,0.025
Type-VI,BETA_SSVEP,femba,0.0425801635,1,0.025
Type-VI,BETA_SSVEP,labram,,1,0.025
Type-VI,BETA_SSVEP,neurogpt,0.0284973286,1,0.025
Type-VI,BETA_SSVEP,neurolm,0.027010523,1,0.025
Type-VI,BETA_SSVEP,reve,0.031591326749999996,1,0.025
Type-VI,DUAL_FREQ_SSVEP,bendr,,1,0.025
Type-VI,DUAL_FREQ_SSVEP,biot,0.0283649106,1,0.025
Type-VI,DUAL_FREQ_SSVEP,brainomni,0.0541404694,1,0.025
Type-VI,DUAL_FREQ_SSVEP,cbramod,0.0291931217,1,0.025
Type-VI,DUAL_FREQ_SSVEP,eegmamba,0.0252513228,1,0.025
Type-VI,DUAL_FREQ_SSVEP,femba,0.0355055627,1,0.025
Type-VI,DUAL_FREQ_SSVEP,labram,,1,0.025
Type-VI,DUAL_FREQ_SSVEP,neurogpt,,1,0.025
Type-VI,DUAL_FREQ_SSVEP,neurolm,0.0370588439,1,0.025
Type-VI,DUAL_FREQ_SSVEP,reve,0.0321480371,1,0.025
Type-VI,Monitering-Errp,bendr,0.5091623792,1,0.5
Type-VI,Monitering-Errp,biot,0.5000140286,1,0.5
Type-VI,Monitering-Errp,brainomni,0.511751545,1,0.5
Type-VI,Monitering-Errp,cbramod,0.5053724764,1,0.5
Type-VI,Monitering-Errp,eegmamba,0.5099347493,1,0.5
Type-VI,Monitering-Errp,femba,,1,0.5
Type-VI,Monitering-Errp,labram,,1,0.5
Type-VI,Monitering-Errp,neurogpt,0.5032887544,1,0.5
Type-VI,Monitering-Errp,neurolm,0.5120413027,1,0.5
Type-VI,Monitering-Errp,reve,,1,0.5
Type-VI,Physionet_MI,bendr,0.2766628735,1,0.25
Type-VI,Physionet_MI,biot,0.2514784973,1,0.25
Type-VI,Physionet_MI,brainomni,0.3449894016,1,0.25
Type-VI,Physionet_MI,cbramod,0.2541645245,1,0.25
Type-VI,Physionet_MI,femba,0.2569867673,1,0.25
Type-VI,Physionet_MI,labram,0.2675527532,1,0.25
Type-VI,Physionet_MI,neurogpt,0.277229614,1,0.25
Type-VI,Physionet_MI,neurolm,0.2837996762,1,0.25
Type-VI,SHU_MI,bendr,,1,0.5
Type-VI,SHU_MI,biot,0.5206736445,1,0.5
Type-VI,SHU_MI,brainomni,0.5662176958,1,0.5
Type-VI,SHU_MI,cbramod,0.5079021055,1,0.5
Type-VI,SHU_MI,eegmamba,0.5091016872,1,0.5
Type-VI,SHU_MI,femba,0.5248268763,1,0.5
Type-VI,SHU_MI,labram,,1,0.5
Type-VI,SHU_MI,neurogpt,0.5010096968,1,0.5
Type-VI,SHU_MI,neurolm,0.5160594562,1,0.5
Type-VI,SHU_MI,reve,0.5334385541,1,0.5
