category,dataset,model,mean_accuracy,n_seed,chance_level
Type-III,HBN_EEG,labram,0.125335891,1,0.07692307692307693
Type-III,HBN_EEG,neurogpt,0.0974418263,1,0.07692307692307693
Type-III,HBN_EEG,neurolm,0.0897364175,1,0.07692307692307693
Type-III,HBN_EEG,reve,0.0904758043,1,0.07692307692307693
Type-III,HMC,bendr,0.2025510233,1,0.2
Type-III,HMC,biot,0.5711706951,1,0.2
Type-III,HMC,brainomni,0.6600885269,1,0.2
Type-III,HMC,cbramod,0.4866075319,1,0.2
Type-III,HMC,eegmamba,0.5540451646,1,0.2
Type-III,HMC,femba,0.6204304176,1,0.2
Type-III,HMC,labram,0.6316500629,1,0.2
Type-III,HMC,neurogpt,0.5756857428,1,0.2
Type-III,HMC,neurolm,0.6499519312,1,0.2
Type-III,HMC,reve,0.6285144515,1,0.2
Type-III,ISRUC_S1,bendr,0.230855861,1,0.2
Type-III,ISRUC_S1,biot,0.5538524616,1,0.2
Type-III,ISRUC_S1,brainomni,0.5956566413,1,0.2
Type-III,ISRUC_S1,cbramod,0.4814793922,1,0.2
Type-III,ISRUC_S1,eegmamba,0.4978369264,1,0.2
Type-III,ISRUC_S1,femba,0.5884396384,1,0.2
Type-III,ISRUC_S1,labram,0.560227718,1,0.2
Type-III,ISRUC_S1,neurogpt,0.5474852612,1,0.2
Type-III,ISRUC_S1,neurolm,0.6146482279,1,0.2
Type-III,ISRUC_S1,reve,0.5632939578,1,0.2
Type-III,ISRUC_S2,bendr,0.201769497,1,0.2
Type-III,ISRUC_S2,biot,0.2664902604,1,0.2
Type-III,ISRUC_S2,brainomni,0.2719456587,1,0.2
Type-III,ISRUC_S2,cbramod,0.2024081394,1,0.2
Type-III,ISRUC_S2,eegmamba,0.2082621904,1,0.2
Type-III,ISRUC_S2,femba,0.249895452,1,0.2
Type-III,ISRUC_S2,labram,,1,0.2
Type-III,ISRUC_S2,neurogpt,0.2578305904,1,0.2
Type-III,ISRUC_S2,neurolm,0.2008871986,1,0.2
Type-III,ISRUC_S2,reve,0.2416930227,1,0.2
Type-III,ISRUC_S3,bendr,,1,0.2
Type-III,ISRUC_S3,biot,0.3310451818,1,0.2
Type-III,ISRUC_S3,brainomni,0.3211093685,1,0.2
Type-III,ISRUC_S3,cbramod,0.268620492,1,0.2
Type-III,ISRUC_S3,eegmamba,0.2973645506,1,0.2
Type-III,ISRUC_S3,femba,0.3332623722,1,0.2
Type-III,ISRUC_S3,labram,0.2748777345,1,0.2
Type-III,ISRUC_S3,neurogpt,0.2927819529,1,0.2
Type-III,ISRUC_S3,neurolm,0.3380788763,1,0.2
Type-III,ISRUC_S3,reve,0.3114764343,1,0.2
Type-III,PEARL_Neuro,bendr,0.3358062605,1,0.3333333333333333
Type-III,PEARL_Neuro,biot,0.4641584306,1,0.3333333333333333
Type-III,PEARL_Neuro,brainomni,0.4823831043,1,0.3333333333333333
Type-III,PEARL_Neuro,cbramod,0.4552134038,1,0.3333333333333333
Type-III,PEARL_Neuro,eegmamba,0.4245483124,1,0.3333333333333333
Type-III,PEARL_Neuro,femba,0.4658071776,1,0.3333333333333333
Type-III,PEARL_Neuro,labram,0.4646264221,1,0.3333333333333333
Type-III,PEARL_Neuro,neurogpt,0.4484906458,1,0.3333333333333333
Type-III,PEARL_Neuro,neurolm,0.4763896622,1,0.3333333333333333
Type-III,PEARL_Neuro,reve,0.3870110401,1,0.3333333333333333
Type-III,RestCog,bendr,0.2008518519,1,0.2
Type-III,RestCog,biot,0.3688148148,1,0.2
Type-III,RestCog,brainomni,0.3510925926,1,0.2
Type-III,RestCog,cbramod,0.2597777778,1,0.2
Type-III,RestCog,eegmamba,0.2352962963,1,0.2
Type-III,RestCog,femba,0.3409444444,1,0.2
Type-III,RestCog,labram,0.3528703704,1,0.2
Type-III,RestCog,neurogpt,0.2804259259,1,0.2
Type-III,RestCog,neurolm,0.3382037037,1,0.2
Type-III,RestCog,reve,0.2334259259,1,0.2
Type-III,SleepEDF_full,bendr,0.2183040918,1,0.2
Type-III,SleepEDF_full,biot,0.2,1,0.2
Type-III,SleepEDF_full,brainomni,0.6699254612,1,0.2
Type-III,SleepEDF_full,cbramod,0.5102699213,1,0.2
Type-III,SleepEDF_full,eegmamba,0.5256664779,1,0.2
Type-III,SleepEDF_full,femba,0.6227847678,1,0.2
Type-III,SleepEDF_full,labram,0.6901860154,1,0.2
Type-III,SleepEDF_full,neurogpt,0.6324307873,1,0.2
Type-III,SleepEDF_full,neurolm,0.6961996384,1,0.2
Type-III,SleepEDF_full,reve,0.4379523696,1,0.2
Type-IV,CIRE,bendr,,1,0.5
Type-IV,CIRE,biot,0.545338116,1,0.5
Type-IV,CIRE,brainomni,0.5578467409,1,0.5
Type-IV,CIRE,cbramod,0.5169197626,1,0.5
Type-IV,CIRE,eegmamba,0.5514543045,1,0.5
Type-IV,CIRE,femba,0.5664009202,1,0.5
Type-IV,CIRE,labram,0.5609942299,1,0.5
Type-IV,CIRE,neurogpt,0.5608189166,1,0.5
Type-IV,CIRE,neurolm,0.5384357269,1,0.5
Type-IV,CIRE,reve,0.5057754144,1,0.5
Type-IV,DEAP_arousal,bendr,,1,0.5
Type-IV,DEAP_arousal,biot,,1,0.5
Type-IV,DEAP_arousal,brainomni,0.5070855969,1,0.5
Type-IV,DEAP_arousal,cbramod,0.5130941783,1,0.5
Type-IV,DEAP_arousal,eegmamba,,1,0.5
Type-IV,DEAP_arousal,femba,,1,0.5
Type-IV,DEAP_arousal,labram,,1,0.5
Type-IV,DEAP_arousal,neurogpt,,1,0.5
Type-IV,DEAP_arousal,neurolm,,1,0.5
Type-IV,DEAP_arousal,reve,,1,0.5
Type-IV,DEAP_valence,bendr,0.5028336238,1,0.5
Type-IV,DEAP_valence,biot,0.5136537378,1,0.5
Type-IV,DEAP_valence,brainomni,0.5270627604,1,0.5
Type-IV,DEAP_valence,cbramod,,1,0.5
Type-IV,DEAP_valence,eegmamba,0.5173506916,1,0.5
Type-IV,DEAP_valence,femba,0.5132047323,1,0.5
Type-IV,DEAP_valence,labram,0.5008169075,1,0.5
Type-IV,DEAP_valence,neurogpt,0.5012181345,1,0.5
Type-IV,DEAP_valence,neurolm,0.5036615134,1,0.5
Type-IV,DEAP_valence,reve,0.5060025116,1,0.5
Type-IV,EEGMAT,bendr,,1,0.5
Type-IV,EEGMAT,biot,0.5494110318,1,0.5
Type-IV,EEGMAT,brainomni,,1,0.5
Type-IV,EEGMAT,cbramod,0.5,1,0.5
Type-IV,EEGMAT,eegmamba,0.5030864198,1,0.5
Type-IV,EEGMAT,femba,0.6018660097,1,0.5
Type-IV,EEGMAT,labram,,1,0.5
Type-IV,EEGMAT,neurogpt,0.5217040435,1,0.5
Type-IV,EEGMAT,neurolm,0.6160380564,1,0.5
Type-IV,EEGMAT,reve,,1,0.5
Type-IV,EEG_SVRec,bendr,0.5008192813,1,0.5
Type-IV,EEG_SVRec,biot,,1,0.5
Type-IV,EEG_SVRec,brainomni,0.5007452565,1,0.5
Type-IV,EEG_SVRec,cbramod,,1,0.5
Type-IV,EEG_SVRec,eegmamba,0.5041734962,1,0.5
Type-IV,EEG_SVRec,femba,0.5050250504,1,0.5
Type-IV,EEG_SVRec,labram,0.507798909,1,0.5
Type-IV,EEG_SVRec,neurogpt,0.5049037833,1,0.5
Type-IV,EEG_SVRec,neurolm,,1,0.5
Type-IV,EEG_SVRec,reve,0.5010153502,1,0.5
Type-IV,FACED_new,bendr,0.1111111111,1,
Type-IV,FACED_new,biot,0.1589901868,1,
Type-IV,FACED_new,brainomni,0.1959480848,1,
Type-IV,FACED_new,cbramod,0.4953308009,1,
Type-IV,FACED_new,eegmamba,0.1516302627,1,
Type-IV,FACED_new,femba,0.1617600506,1,
Type-IV,FACED_new,labram,0.1543209877,1,
Type-IV,FACED_new,neurogpt,0.1522633745,1,
Type-IV,FACED_new,neurolm,0.1657169991,1,
Type-IV,FACED_new,reve,0.2215099715,1,
Type-IV,MusicEEG,bendr,,1,0.5
Type-IV,MusicEEG,biot,,1,0.5
Type-IV,MusicEEG,brainomni,0.5186728395,1,0.5
Type-IV,MusicEEG,cbramod,0.5685185185,1,0.5
Type-IV,MusicEEG,eegmamba,0.5177469136,1,0.5
Type-IV,MusicEEG,femba,0.5095679012,1,0.5
Type-IV,MusicEEG,labram,0.5427469136,1,0.5
Type-IV,MusicEEG,neurogpt,,1,0.5
Type-IV,MusicEEG,neurolm,0.5158950617,1,0.5
Type-IV,MusicEEG,reve,0.5171296296,1,0.5
Type-IV,SEED,bendr,0.35170663,1,0.3333333333333333
Type-IV,SEED,biot,0.4228337105,1,0.3333333333333333
Type-IV,SEED,brainomni,0.4917306338,1,0.3333333333333333
Type-IV,SEED,cbramod,0.5142274363,1,0.3333333333333333
Type-IV,SEED,eegmamba,0.474609027,1,0.3333333333333333
Type-IV,SEED,femba,0.4086930431,1,0.3333333333333333
Type-IV,SEED,labram,0.5042470355,1,0.3333333333333333
Type-IV,SEED,neurogpt,0.4654174938,1,0.3333333333333333
Type-IV,SEED,neurolm,0.5224365279,1,0.3333333333333333
Type-IV,SEED,reve,0.3783623744,1,0.3333333333333333
Type-IV,SEED_FRA,bendr,,1,0.3333333333333333
Type-IV,SEED_FRA,biot,0.3862316358,1,0.3333333333333333
Type-IV,SEED_FRA,brainomni,0.4167914247,1,0.3333333333333333
Type-IV,SEED_FRA,cbramod,0.4459649294,1,0.3333333333333333
Type-IV,SEED_FRA,eegmamba,0.4118724665,1,0.3333333333333333
Type-IV,SEED_FRA,femba,0.4135041747,1,0.3333333333333333
Type-IV,SEED_FRA,labram,0.3722677405,1,0.3333333333333333
Type-IV,SEED_FRA,neurogpt,0.359375465,1,0.3333333333333333
Type-IV,SEED_FRA,neurolm,0.338657325,1,0.3333333333333333
Type-IV,SEED_FRA,reve,0.3542266979,1,0.3333333333333333
Type-IV,SEED_IV,bendr,0.254845186,1,0.25
Type-IV,SEED_IV,biot,,1,0.25
Type-IV,SEED_IV,brainomni,0.3162829508,1,0.25
Type-IV,SEED_IV,cbramod,0.3114143329,1,0.25
Type-IV,SEED_IV,eegmamba,0.282056741,1,0.25
Type-IV,SEED_IV,femba,0.3066076298,1,0.25
Type-IV,SEED_IV,labram,0.3029615686,1,0.25
Type-IV,SEED_IV,neurogpt,0.2834805624,1,0.25
Type-IV,SEED_IV,neurolm,0.3262740327,1,0.25
Type-IV,SEED_IV,reve,,1,0.25
Type-IV,SEED_V,bendr,0.2024866755,1,0.2
Type-IV,SEED_V,biot,0.2660772426,1,0.2
Type-IV,SEED_V,brainomni,0.2344782468,1,0.2
Type-IV,SEED_V,cbramod,0.2076150541,1,0.2
Type-IV,SEED_V,eegmamba,0.2150337529,1,0.2
Type-IV,SEED_V,femba,0.2993982797,1,0.2
Type-IV,SEED_V,labram,0.233371317,1,0.2
Type-IV,SEED_V,neurogpt,0.2243561504,1,0.2
Type-IV,SEED_V,neurolm,0.2166428075,1,0.2
Type-IV,SEED_V,reve,0.2054496662,1,0.2
Type-IV,SEED_VIG,bendr,,1,0.3333333333333333
Type-IV,SEED_VIG,biot,,1,0.3333333333333333
Type-IV,SEED_VIG,brainomni,0.4299486563,1,0.3333333333333333
Type-IV,SEED_VIG,cbramod,0.3929905886,1,0.3333333333333333
Type-IV,SEED_VIG,eegmamba,0.3780832874,1,0.3333333333333333
Type-IV,SEED_VIG,femba,0.5128044128,1,0.3333333333333333
Type-IV,SEED_VIG,labram,0.4164594936,1,0.3333333333333333
Type-IV,SEED_VIG,neurogpt,0.4656319516,1,0.3333333333333333
Type-IV,SEED_VIG,neurolm,0.4999649382,1,0.3333333333333333
Type-IV,SEED_VIG,reve,0.3583060313,1,0.3333333333333333
Type-IV,SEED_VII,bendr,0.1482606542,1,0.14285714285714285
Type-IV,SEED_VII,biot,0.1640932523,1,0.14285714285714285
Type-IV,SEED_VII,brainomni,0.1871938553,1,0.14285714285714285
Type-IV,SEED_VII,cbramod,0.190614865,1,0.14285714285714285
Type-IV,SEED_VII,eegmamba,0.1844676878,1,0.14285714285714285
Type-IV,SEED_VII,femba,0.191874657,1,0.14285714285714285
Type-IV,SEED_VII,labram,0.1808372996,1,0.14285714285714285
Type-IV,SEED_VII,neurogpt,0.1728714291,1,0.14285714285714285
Type-IV,SEED_VII,neurolm,0.1770376098,1,0.14285714285714285
Type-IV,SEED_VII,reve,0.1520326143,1,0.14285714285714285
Type-IV,Workload,bendr,0.3568232662,1,0.3333333333333333
Type-IV,Workload,biot,0.4548844146,1,0.3333333333333333
Type-IV,Workload,brainomni,0.437733035,1,0.3333333333333333
Type-IV,Workload,cbramod,0.4962714392,1,0.3333333333333333
Type-IV,Workload,eegmamba,0.4295302013,1,0.3333333333333333
Type-IV,Workload,femba,0.4052945563,1,0.3333333333333333
Type-IV,Workload,labram,0.4824757644,1,0.3333333333333333
Type-IV,Workload,neurogpt,0.3501118568,1,0.3333333333333333
Type-IV,Workload,neurolm,0.3754660701,1,0.3333333333333333
Type-IV,Workload,reve,0.4213273676,1,0.3333333333333333
Type-V,Broderick_CP,bendr,0.50050265785,1,0.5
Type-V,Broderick_CP,biot,0.51910873225,1,0.5
Type-V,Broderick_CP,brainomni,0.53586080555,1,0.5
Type-V,Broderick_CP,cbramod,,1,0.5
Type-V,Broderick_CP,eegmamba,0.50278433485,1,0.5
Type-V,Broderick_CP,femba,,1,0.5
Type-V,Broderick_CP,labram,,1,0.5
Type-V,Broderick_CP,neurogpt,0.50991859915,1,0.5
Type-V,Broderick_CP,neurolm,,1,0.5
Type-V,Broderick_CP,reve,,1,0.5
Type-V,Broderick_Rev,bendr,0.5,1,0.5
Type-V,Broderick_Rev,biot,,1,0.5
Type-V,Broderick_Rev,brainomni,,1,0.5
Type-V,Broderick_Rev,cbramod,0.559524257,1,0.5
Type-V,Broderick_Rev,eegmamba,,1,0.5
Type-V,Broderick_Rev,femba,,1,0.5
Type-V,Broderick_Rev,labram,,1,0.5
Type-V,Broderick_Rev,neurogpt,,1,0.5
Type-V,Broderick_Rev,neurolm,,1,0.5
Type-V,Broderick_Rev,reve,,1,0.5
Type-V,ChineseEEG2_RA_Tone,bendr,,1,0.25
Type-V,ChineseEEG2_RA_Tone,biot,0.2531357501,1,0.25
Type-V,ChineseEEG2_RA_Tone,brainomni,,1,0.25
Type-V,ChineseEEG2_RA_Tone,cbramod,0.2505003307,1,0.25
Type-V,ChineseEEG2_RA_Tone,eegmamba,0.2508143722,1,0.25
Type-V,ChineseEEG2_RA_Tone,femba,0.2544398991,1,0.25
Type-V,ChineseEEG2_RA_Tone,labram,0.2504179266,1,0.25
Type-V,ChineseEEG2_RA_Tone,neurogpt,0.2507882799,1,0.25
Type-V,ChineseEEG2_RA_Tone,neurolm,0.2501871227,1,0.25
Type-V,ChineseEEG2_RA_Tone,reve,0.2519631329,1,0.25
Type-V,Things_EEG2,bendr,0.5,1,0.5
Type-V,Things_EEG2,biot,,1,0.5
Type-V,Things_EEG2,brainomni,,1,0.5
Type-V,Things_EEG2,cbramod,0.5,1,0.5
Type-V,Things_EEG2,eegmamba,,1,0.5
Type-V,Things_EEG2,femba,,1,0.5
Type-V,Things_EEG2,labram,0.5,1,0.5
Type-V,Things_EEG2,neurogpt,0.5,1,0.5
Type-V,Things_EEG2,neurolm,0.5,1,0.5
Type-V,Things_EEG2,reve,0.5,1,0.5
Type-VI,BCIC2A,bendr,,1,0.25
Type-VI,BCIC2A,biot,0.25,1,0.25
Type-VI,BCIC2A,brainomni,0.3055555556,1,0.25
Type-VI,BCIC2A,cbramod,0.2690972222,1,0.25
Type-VI,BCIC2A,eegmamba,0.2818287037,1,0.25
Type-VI,BCIC2A,femba,0.2586805556,1,0.25
Type-VI,BCIC2A,labram,0.2615740741,1,0.25
Type-VI,BCIC2A,neurogpt,0.2540509259,1,0.25
Type-VI,BCIC2A,neurolm,0.3171296296,1,0.25
Type-VI,BCIC2A,reve,,1,0.25
Type-VI,BCIC4_1,bendr,,1,0.5
Type-VI,BCIC4_1,biot,,1,0.5
Type-VI,BCIC4_1,brainomni,,1,0.5
Type-VI,BCIC4_1,cbramod,0.51,1,0.5
Type-VI,BCIC4_1,eegmamba,,1,0.5
Type-VI,BCIC4_1,femba,,1,0.5
Type-VI,BCIC4_1,labram,0.5066666667,1,0.5
Type-VI,BCIC4_1,neurogpt,,1,0.5
Type-VI,BCIC4_1,neurolm,,1,0.5
Type-VI,BCIC4_1,reve,0.515,1,0.5
