dataset,bendr,biot,brainomni,cbramod,eegmamba,femba,labram,neurogpt,neurolm,reve,category
SEED,10.0,7.0,4.0,2.0,5.0,8.0,3.0,6.0,1.0,9.0,Type-IV
SEED_FRA,10.0,5.0,2.0,1.0,4.0,3.0,6.0,7.0,9.0,8.0,Type-IV
SEED_IV,8.0,9.5,2.0,3.0,7.0,4.0,5.0,6.0,1.0,9.5,Type-IV
SEED_V,10.0,2.0,3.0,8.0,7.0,1.0,4.0,5.0,6.0,9.0,Type-IV
SEED_VIG,9.5,9.5,4.0,6.0,7.0,1.0,5.0,3.0,2.0,8.0,Type-IV
SEED_VII,10.0,8.0,3.0,2.0,4.0,1.0,5.0,7.0,6.0,9.0,Type-IV
SHU_MI,9.5,6.0,1.0,2.0,9.5,5.0,4.0,3.0,7.0,8.0,Type-VI
SSVEP,3.0,8.0,2.0,6.0,4.0,9.5,5.0,9.5,1.0,7.0,Type-VI
Siena_EEG,7.0,5.0,6.0,1.0,3.0,9.0,4.0,10.0,2.0,8.0,Type-II
SleepEDF_full,9.0,10.0,3.0,7.0,6.0,5.0,2.0,4.0,1.0,8.0,Type-III
TDBRAIN,10.0,3.0,1.0,7.0,8.0,2.0,4.0,6.0,5.0,9.0,Type-II
TUAB,10.0,1.0,4.0,3.0,7.0,5.0,2.0,8.0,6.0,9.0,Type-II
TUEP,10.0,6.0,5.0,3.0,4.0,7.0,1.0,8.0,2.0,9.0,Type-II
TUEV,10.0,1.0,3.0,8.0,6.0,2.0,4.0,5.0,7.0,9.0,Type-II
TUSL,10.0,1.0,5.0,4.0,3.0,2.0,9.0,8.0,6.0,7.0,Type-II
Things_EEG2,3.5,8.5,8.5,3.5,8.5,8.5,3.5,3.5,3.5,3.5,Type-V
Workload,9.0,3.0,4.0,1.0,5.0,7.0,2.0,10.0,8.0,6.0,Type-IV
