,eegconformer,eegnet,cbramod_x,brainomni_x,reve_x,femba_x,biot_x,labram_x,neurolm_x,neurogpt_x,eegmamba_x,bendr_x,femba_y,brainomni_y,labram_y,biot_y,cbramod_y,neurogpt_y,reve_y,eegmamba_y,bendr_y,neurolm_y
ChineseEEG2_RA_Tone,,,,,,,,,,,,,0.2544398991,0.2498249851,0.2504179266,0.2531357501,0.2505003307,0.2507882799,0.2519631329,0.2508143722,0.2499631395,0.2501871227
DEAP_arousal,,,,,,,,,,,,,0.495013007,0.5070855969,0.4941180558,0.4751618603,0.5130941783,0.4902834017,0.4892000139,0.4995982039,0.4977834158,0.493088507
DUAL_FREQ_SSVEP,,,,,,,,,,,,,0.0380208333,0.05625,0.0276041667,0.0359375,0.0302083333,0.0244791667,0.0338541667,0.0364583333,0.028125,0.03125
Depression_rest,,,,,,,,,,,,,0.5193399261,0.5003663051,0.5001933251,0.4982908372,0.5,0.5064696045,0.499887064,0.494843169,0.5,0.501085162
EEGMAT,,,,,,,,,,,,,0.6018660097,0.4845679012,0.4953703704,0.5494110318,0.5,0.5217040435,0.4985134217,0.5030864198,0.4984567901,0.6160380564
EEG_Mortality_PD,,,0.5,0.5588436902,0.5011830601,0.5237414271,0.6425949822,0.5270741042,0.5508925771,0.4929320856,0.5,0.4998089206,0.502025467,0.5,0.5,0.5788793964,0.5,0.5,0.5010684803,0.5024737642,0.4979489824,0.5273554184
EEG_SVRec,,,,,,,,,,,,,0.5050250504,0.5007452565,0.507798909,0.4996258455,0.4992063201,0.5049037833,0.5010153502,0.5041734962,0.5008192813,0.4974696209
ExoEEG_WalkStop,,,0.5698038889,0.4907527757,0.5225913278,0.5095943516,0.5073699403,0.529704447,0.5226504034,0.4986913185,0.5113923038,0.5015321413,0.5443281808,0.5261511953,0.5023091622,0.5134444989,0.5001395553,0.5170341183,0.5088276924,0.4970815578,0.5048075374,0.5259447227
FACED_new,,,0.3587369421,0.3368945869,0.1526590693,0.252374169,0.2174738841,0.3046058879,0.1156220323,0.1844729345,0.2540360874,0.1111111111,,,,,,,,,,
HBN_EEG,,,,,,,,,,,,,0.1162869574,0.1534776246,0.125335891,0.1289014282,0.1103088327,0.0974418263,0.0904758043,0.1006398709,0.0803835056,0.0897364175
HFO,,,0.574220809,0.5677881676,0.5272257282,0.5393374175,0.5979063772,0.5629725814,0.5763419071,0.5766781004,0.5948177144,0.5098110465,0.5234025488,0.5564574922,0.5350701175,0.5806066093,0.5766793022,0.5424831628,0.5079511864,0.5771836937,0.5044479031,0.5430686724
HMC,,,0.4670568877,0.6635309606,0.49215882,0.593723736,0.5607880938,0.6234029549,0.652896891,0.5742049791,0.5295745638,0.2026182089,0.6204304176,0.6600885269,0.6316500629,0.5711706951,0.4866075319,0.5756857428,0.5051811181,0.5540451646,0.2025510233,0.6499519312
ISRUC_S2,,,0.2,0.2108264231,0.2529421719,0.2487096692,0.2576454717,0.2117715618,0.2119173754,0.2698916629,0.2027272727,0.1962160062,0.249895452,0.2719456587,0.1819805028,0.2664902604,0.2024081394,0.2578305904,0.2416930227,0.2082621904,0.201769497,0.2008871986
ISRUC_S3,,,,,,,,,,,,,0.3332623722,0.3211093685,0.2748777345,0.3310451818,0.268620492,0.2927819529,0.3114764343,0.2973645506,0.1935136397,0.3380788763
LEMON_age,,,,,,,,,,,,,0.4824340638,0.4552551106,0.4375867142,0.4857103562,0.3333333333,0.4307553226,0.4390467141,0.3315098192,0.3333467708,0.3885612784
LEMON_extraversion,,,,,,,,,,,,,0.5192380673,0.4749155116,0.5016329018,0.4978077238,0.5273440796,0.4778947882,0.5039384319,0.5062660046,0.5032452984,0.5087713277
LEMON_gender,,,,,,,,,,,,,0.5535349971,0.5375259221,0.5778729528,0.5802646216,0.5051081517,0.5327322976,0.5372104918,0.4989839587,0.4998314921,0.5816966123
Longitudinal_EEG_Reliability,,,,,,,,,,,,,0.7231910475,0.7395250489,0.6922392711,0.7248532404,0.6481660334,0.6531964433,0.6378437365,0.6772462842,0.4991675811,0.7370455514
MDD,,,,,,,,,,,,,0.7440077518,0.9959199063,0.7441721363,0.8616941314,0.7495484678,0.631404687,0.8237497243,0.7056463875,0.5259175865,0.9195157366
Mean,0.8564886282,0.498776052,0.4989773557,0.5343263858,0.4408162918,0.5032154576,0.4823845438,0.5104022978,0.4735578349,0.4747331938,0.4418010587,0.3551143744,0.4454661055,0.4537504491,0.4395575152,0.4379865418,0.4215480016,0.4122304749,0.4022403867,0.4081072192,0.3619984071,0.4457711947
MonitoringErrP,,,,,,,,,,,,,0.4949054498,0.4932831219,0.4904201903,0.5093742659,0.4916314306,0.4956101715,0.4965351186,0.5115471576,0.5004991778,0.4969315245
MusicEEG,,,,,,,,,,,,,0.4587962963,0.4884259259,0.5043209877,0.487962963,0.4979938272,0.5023148148,0.5205246914,0.4956790123,0.4776234568,0.4918209877
N,1.0,7.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
PD31,,,,,,,,,,,,,0.4308663224,0.3826735513,0.2977624785,0.5714285714,0.4245553643,0.0602409639,0.3155479059,0.0097532989,0.065404475,0.2719449225
PEARL_Neuro,,,,,,,,,,,,,0.4658071776,0.4823831043,0.4646264221,0.4641584306,0.4552134038,0.4484906458,0.3870110401,0.4245483124,0.3358062605,0.4763896622
Physionet_MI,,,0.501992879,0.5655339792,0.4859699688,0.5345814434,0.316134788,0.540180655,0.4769319637,0.5198453389,0.351857438,,0.2932639362,0.387929901,0.2790967198,0.245044623,0.2676270308,0.268127284,0.2671528582,0.2788303598,0.2529979722,0.2961325236
RestCog,,,,,,,,,,,,,0.3409444444,0.3510925926,0.3528703704,0.3688148148,0.2597777778,0.2804259259,0.2334259259,0.2352962963,0.2008518519,0.3382037037
SEED,,,,,,,,,,,,,0.4086930431,0.4917306338,0.5042470355,0.4228337105,0.5142274363,0.4654174938,0.3783623744,0.474609027,0.35170663,0.5224365279
SEEDIV,,,,,,,,,,,,,0.3066076298,0.3162829508,0.3029615686,0.2269490667,0.3114143329,0.2834805624,0.2477954777,0.282056741,0.254845186,0.3262740327
SEED_FRA,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.9997118986,1.0,0.9997118986,1.0
SEED_V,,,,,,,,,,,,,0.2993982797,0.2344782468,0.233371317,0.2660772426,0.2076150541,0.2243561504,0.2054496662,0.2150337529,0.2024866755,0.2166428075
SEED_VIG,,,,,,,,,,,,,0.5128044128,0.4299486563,0.4164594936,0.3333333333,0.3929905886,0.4656319516,0.3583060313,0.3780832874,0.3324316973,0.4999649382
SEED_VII,,,,,,,,,,,,,0.191874657,0.1871938553,0.1808372996,0.1640932523,0.190614865,0.1728714291,0.1520326143,0.1844676878,0.1482606542,0.1770376098
SHU_MI,,,,,,,,,,,,,0.508221082,0.5202260225,0.5144788464,0.5076932705,0.5166848332,0.5145500518,0.5007890353,0.4790943955,0.4971536962,0.5025801093
SSVEP,,,,,,,,,,,,,0.0052083333,0.0167708333,0.0082291667,0.00625,0.0073958333,0.0060416667,0.0067708333,0.0103125,0.0136458333,0.0308333333
Siena_EEG,,,,,,,,,,,,,0.5112056265,0.6406104774,0.7242642703,0.6522737433,0.7993955775,0.4342905088,0.5441166973,0.7321505031,0.6303823243,0.7737207607
SleepEDF_full,,,,,,,,,,,,,0.6227847678,0.6699254612,0.6901860154,0.2,0.5102699213,0.6324307873,0.4379523696,0.5256664779,0.2183040918,0.6961996384
Std,,0.2007126322,0.1750779127,0.2224402347,0.1493396389,0.220784156,0.2518327076,0.2288562682,0.2364861472,0.1785366103,0.175814346,0.1812028996,0.1915510381,0.2005589115,0.1969643502,0.2023990017,0.1934112872,0.1945086157,0.1912877523,0.1983449869,0.1880362945,0.2090633093
TDBRAIN,,,,,,,,,,,,,0.3993623709,0.4086903173,0.3911326599,0.3914605346,0.3411323547,0.383654312,0.315785516,0.3232964272,0.2783985102,0.3709815327
TUEP,,,,,,,,,,,,,0.5333030141,0.5988083572,0.6271914919,0.5871542376,0.6124527403,0.5301815727,0.5054729461,0.6077711352,0.4998188236,0.6171618726
TUEV,,,,,,,,,,,,,0.426512999,0.4239683825,0.4137375307,0.6930945712,0.2812555307,0.323925371,0.1916919695,0.3128657288,0.1639432441,0.2838490657
Things_EEG2,,,,,,,,,,,,,0.4984586,0.4995719589,0.5,0.4969172,0.5,0.5,0.5,0.4984586,0.5,0.5
Workload,,,,,,,,,,,,,0.4052945563,0.437733035,0.4824757644,0.4548844146,0.4962714392,0.3501118568,0.4213273676,0.4295302013,0.3568232662,0.3754660701
