dataset_display,BrainOmni,FEMBA,NeuroLM,BIOT,LaBraM,CBraMod,REVE,EEGMamba,NeuroGPT,BENDR
ISRUC_S1,0.5956566413,0.5884396384,0.6146482279,0.5538524616,0.560227718,0.4814793922,0.5632939578,0.4978369264,0.5474852612,0.230855861
ISRUC_S2,0.2719456587,0.249895452,0.2008871986,0.2664902604,0.1819805028,0.2024081394,0.2416930227,0.2082621904,0.2578305904,0.201769497
ISRUC_S3,0.3211093685,0.3332623722,0.3380788763,0.3310451818,0.2748777345,0.268620492,0.3114764343,0.2973645506,0.2927819529,0.1935136397
PEARL_Neuro,,0.4658071776,0.4763896622,0.4641584306,0.4646264221,0.4552134038,0.3870110401,0.4245483124,0.4484906458,0.3358062605
RestCog,,0.3409444444,0.3382037037,0.3688148148,0.3528703704,0.2597777778,0.2334259259,0.2352962963,0.2804259259,0.2008518519
SleepEDF_full,0.6699254612,0.6227847678,0.6961996384,0.2,0.6901860154,0.5102699213,0.4379523696,0.5256664779,0.6324307873,0.2183040918
CIRE,0.5578467409,0.5664009202,0.5384357269,0.545338116,0.5609942299,0.5169197626,0.5057754144,0.5514543045,0.5608189166,0.4922670729
DEAP_arousal,0.5070855969,0.495013007,0.493088507,0.4751618603,0.4941180558,0.5130941783,0.5180051157,0.4995982039,0.4902834017,0.4977834158
DEAP_valence,0.5270627604,0.5132047323,0.5036615134,0.5136537378,0.5008169075,0.4999511535,0.5060025116,0.5173506916,0.5012181345,0.5028336238
EEGMAT,0.4845679012,0.6018660097,0.6160380564,0.5494110318,0.4953703704,0.5,0.4985134217,0.5030864198,0.5217040435,0.4984567901
EEG_SVRec,0.5007452565,0.5050250504,0.4974696209,0.4996258455,0.507798909,0.4992063201,0.5010153502,0.5041734962,0.5049037833,0.5008192813
FACED,0.1959480848,0.1617600506,0.1657169991,0.1589901868,0.1543209877,0.4953308009,0.2215099715,0.1516302627,0.1522633745,0.1111111111
MusicEEG,,0.5095679012,0.5158950617,0.449845679,0.5427469136,0.5685185185,0.5171296296,0.5177469136,0.4847222222,0.4725308642
SEED,0.4917306338,0.4086930431,0.5224365279,0.4228337105,,0.5142274363,0.4202525039,0.474609027,0.4654174938,0.35170663
SEED_FRA,0.4167914247,0.4135041747,,0.3862316358,,0.4459649294,0.3542266979,0.4118724665,0.359375465,0.3333333333
SEED_IV,0.3162829508,0.3066076298,,0.2269490667,,0.3114143329,0.2477954777,0.282056741,0.2834805624,0.254845186
SEED_V,0.2344782468,0.2993982797,,0.2660772426,0.233371317,0.2076150541,0.2054496662,0.2150337529,0.2243561504,0.2024866755
SEED_VIG,0.4299486563,0.5128044128,0.4999649382,0.3333333333,0.4164594936,0.3929905886,0.3583060313,0.3780832874,0.4656319516,0.3324316973
SEED_VII,0.1871938553,0.191874657,0.1770376098,0.1640932523,0.1808372996,0.190614865,0.1520326143,0.1844676878,0.1728714291,0.1482606542
Workload,0.437733035,0.4052945563,0.3754660701,0.4548844146,0.4824757644,0.4962714392,0.4213273676,0.4295302013,0.3501118568,0.3568232662
BCI_Speech,0.2203333333,0.194,0.2236666667,0.2046666667,0.2143333333,0.2016666667,0.1866666667,0.2073333333,0.1936666667,0.207
Broderick_CP,0.5814359248,0.5827466828,0.5399956253,0.6085674507,0.6006218606,0.5451205954,0.4993576035,0.5111786593,0.5172181072,0.5010053157
Broderick_Rev,0.4659079665,0.4981492211,0.4978127914,0.4989215174,0.4653572873,0.559524257,0.4970418909,0.4998440121,0.4854946914,0.5
ChineseEEG2_RA_Tone,0.2498249851,0.2544398991,0.2501871227,0.2531357501,0.2504179266,0.2505003307,0.2519631329,0.2508143722,0.2507882799,0.2499631395
Things_EEG2,0.4995719589,0.4984586,0.5,0.4969172,0.5,0.5,0.5,0.4984586,0.5,0.5
BCIC2A,0.3055555556,0.2586805556,,0.25,,0.2690972222,0.2280092593,0.2818287037,0.2540509259,0.2361111111
BCIC4_1,0.495,0.49,0.4933333333,0.4616666667,0.5066666667,0.51,0.515,0.4816666667,0.4816666667,0.475
BenchmarkSSVEP,0.0777777778,0.0509259259,0.0324074074,0.0648148148,0.0328703704,0.425462963,0.0736111111,0.0333333333,0.0263888889,0.025
BETA_SSVEP,0.0380952381,0.037202381,0.0294642857,0.0291666667,0.0267857143,0.0291666667,0.0458333333,0.0285714286,0.0273809524,0.0303571429
DUAL_FREQ_SSVEP,0.05625,0.0380208333,0.03125,0.0359375,0.0276041667,0.0302083333,0.0338541667,0.0364583333,0.0244791667,0.028125
ExoEEG_WalkStop,0.5261511953,0.5443281808,0.5259447227,0.5134444989,0.5023091622,0.5001395553,0.5088276924,0.4970815578,0.5170341183,0.5048075374
Monitering-Errp,0.4932831219,0.4949054498,0.4969315245,0.5093742659,0.4904201903,0.4916314306,0.4897888771,0.5115471576,0.4956101715,0.5004991778
Physionet_MI,0.387929901,0.2932639362,0.2961325236,0.245044623,0.2790967198,0.2676270308,,,0.268127284,0.2529979722
SHU_MI,0.5202260225,0.508221082,0.5025801093,0.5076932705,0.5144788464,0.5166848332,0.5007890353,0.4790943955,0.5145500518,0.4971536962
SSVEP,0.0167708333,0.0052083333,0.0308333333,0.00625,0.0082291667,0.0073958333,0.0067708333,0.0103125,0.0060416667,0.0136458333
