,femba,brainomni,labram,biot,cbramod,neurogpt,eegmamba,bendr,reve,neurolm,eegnet,eegconformer
physionetmi,0.2932639362,0.387929901,0.2790967198,0.245044623,0.2676270308,0.268127284,0.2788303598,0.2529979722,0.3071528582,0.2961325236,0.4373733551,0.4891099736
restcog,0.3409444444,0.3510925926,0.3528703704,0.3688148148,0.2597777778,0.2804259259,0.2352962963,0.2008518519,0.2334259259,0.3382037037,0.2666481481,0.284462963
seed,0.4086930431,0.4917306338,0.5042470355,0.4228337105,0.5142274363,0.4654174938,0.474609027,0.35170663,0.4202525039,0.5224365279,0.4151150117,0.434230397
seedfra,0.4135041747,0.4167914247,0.3722677405,0.3862316358,0.4459649294,0.359375465,0.4118724665,0.3333333333,0.3542266979,0.338657325,1.0,1.0
ssvep,0.0052083333,0.0167708333,0.0082291667,0.00625,0.0073958333,0.0060416667,0.0103125,0.0136458333,0.0067708333,0.0308333333,0.01046875,0.0084375
sienaeeg,0.5112056265,0.6406104774,0.7242642703,0.6522737433,0.7993955775,0.4342905088,0.7321505031,0.6303823243,0.5441166973,0.7737207607,0.6322667009,0.7147344744
sleepedffull,0.6227847678,0.6699254612,0.6901860154,0.2,0.5102699213,0.6324307873,0.5256664779,0.2183040918,0.4379523696,0.6961996384,0.5870436946,0.6311746488
tdbrain,0.3993623709,0.4086903173,0.3911326599,0.3914605346,0.3411323547,0.383654312,0.3232964272,0.2783985102,0.3074353306,0.3875216834,0.3792655153,0.3887607451
tuev,0.426512999,0.4239683825,0.4137375307,0.6930945712,0.2812555307,0.323925371,0.3128657288,0.1639432441,0.1916919695,0.2838490657,0.4341015371,0.5222822693
tusl,0.5323297073,0.4724849225,0.3835719836,0.6043817294,0.4737234987,0.4426551843,0.4917200084,0.3176980427,0.4503980587,0.4662784746,0.2868589744,0.4245661746
thingseeg2,0.4984586,0.4995719589,0.5,0.4969172,0.5,0.5,0.4984586,0.5,0.5,0.5,0.4976879,0.4976879
workload,0.4052945563,0.437733035,0.4824757644,0.4548844146,0.4962714392,0.3501118568,0.4295302013,0.3568232662,0.4213273676,0.3754660701,0.4015659955,0.475950783
mean,0.4371007446,0.444372664,0.4269991177,0.4260587314,0.4237036524,0.4050889664,0.404192019,0.3502048657,0.4011031727,0.4293031689,0.4245490196,0.4527939042
std,0.1845435042,0.1874991416,0.1861450114,0.1893835288,0.1702226528,0.171406769,0.1742802883,0.1630879247,0.1771937226,0.1948440235,0.1985855161,0.2029618389
n,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,55.0,40.0,40.0
